{'task_description': 0, 'ctr_description': 3, 'statement_description': 1, 'self_A': 2, 'self_B': 2, 'self_C': 1, 'answer_description': 0}, 0.7798018216394755
{'task_description': 3, 'ctr_description': 1, 'statement_description': 0, 'self_A': 0, 'self_B': 3, 'self_C': 2, 'answer_description': 2}, 0.7642869680784372
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'self_A': 1, 'self_B': 0, 'self_C': 1, 'answer_description': 1}, 0.7546995068959474
{'task_description': 2, 'ctr_description': 2, 'statement_description': 2, 'self_A': 2, 'self_B': 1, 'self_C': 0, 'answer_description': 2}, 0.7487689679429204
{'task_description': 4, 'ctr_description': 4, 'statement_description': 3, 'self_A': 3, 'self_B': 4, 'self_C': 3, 'answer_description': 3}, 0.748389694041868
{'task_description': 9, 'ctr_description': 8, 'statement_description': 4, 'self_A': 8, 'self_B': 6, 'self_C': 4, 'answer_description': 7}, 0.6998799519807923
{'task_description': 5, 'ctr_description': 6, 'statement_description': 7, 'self_A': 8, 'self_B': 6, 'self_C': 7, 'answer_description': 5}, 0.6995192307692308
{'task_description': 7, 'ctr_description': 8, 'statement_description': 4, 'self_A': 5, 'self_B': 9, 'self_C': 6, 'answer_description': 6}, 0.6910719802286067
{'task_description': 9, 'ctr_description': 5, 'statement_description': 7, 'self_A': 8, 'self_B': 5, 'self_C': 5, 'answer_description': 5}, 0.6899689968996899
{'task_description': 5, 'ctr_description': 6, 'statement_description': 6, 'self_A': 5, 'self_B': 9, 'self_C': 8, 'answer_description': 8}, 0.6799999999999999
{'task_description': 6, 'ctr_description': 9, 'statement_description': 8, 'self_A': 6, 'self_B': 9, 'self_C': 7, 'answer_description': 5}, 0.6738370738526054
{'task_description': 5, 'ctr_description': 9, 'statement_description': 6, 'self_A': 8, 'self_B': 9, 'self_C': 4, 'answer_description': 8}, 0.6731615336266499
{'task_description': 7, 'ctr_description': 6, 'statement_description': 8, 'self_A': 4, 'self_B': 9, 'self_C': 7, 'answer_description': 7}, 0.6715927750410509
{'task_description': 7, 'ctr_description': 7, 'statement_description': 5, 'self_A': 4, 'self_B': 5, 'self_C': 4, 'answer_description': 4}, 0.6691729323308271
{'task_description': 7, 'ctr_description': 8, 'statement_description': 4, 'self_A': 5, 'self_B': 7, 'self_C': 7, 'answer_description': 4}, 0.65625
{'task_description': 8, 'ctr_description': 8, 'statement_description': 6, 'self_A': 6, 'self_B': 9, 'self_C': 5, 'answer_description': 6}, 0.6535361904044588
{'task_description': 8, 'ctr_description': 8, 'statement_description': 6, 'self_A': 7, 'self_B': 8, 'self_C': 6, 'answer_description': 7}, 0.6517581018217729
{'task_description': 5, 'ctr_description': 6, 'statement_description': 7, 'self_A': 8, 'self_B': 6, 'self_C': 8, 'answer_description': 8}, 0.6453445041247976
{'task_description': 8, 'ctr_description': 6, 'statement_description': 4, 'self_A': 6, 'self_B': 5, 'self_C': 5, 'answer_description': 7}, 0.6384100226630338
{'task_description': 9, 'ctr_description': 5, 'statement_description': 4, 'self_A': 5, 'self_B': 7, 'self_C': 5, 'answer_description': 6}, 0.6301081806896203
{'task_description': 6, 'ctr_description': 7, 'statement_description': 6, 'self_A': 5, 'self_B': 6, 'self_C': 7, 'answer_description': 7}, 0.6294070512820513
{'task_description': 9, 'ctr_description': 5, 'statement_description': 7, 'self_A': 7, 'self_B': 8, 'self_C': 6, 'answer_description': 7}, 0.6286078098471987
{'task_description': 6, 'ctr_description': 7, 'statement_description': 6, 'self_A': 4, 'self_B': 9, 'self_C': 6, 'answer_description': 6}, 0.6149133555049886
{'task_description': 6, 'ctr_description': 8, 'statement_description': 5, 'self_A': 5, 'self_B': 5, 'self_C': 8, 'answer_description': 7}, 0.5673485035187164
{'task_description': 6, 'ctr_description': 8, 'statement_description': 4, 'self_A': 8, 'self_B': 8, 'self_C': 8, 'answer_description': 6}, 0.48299632352941174
